Core #0 Usage [%],Core #1 Usage [%],Core #2 Usage [%],Core #3 Usage [%],Core #4 Usage [%],Core #5 Usage [%],Core #6 Usage [%],Core #7 Usage [%]
47.7,33.3,37.1,32.5,40.9,33.3,64.3,36.3
68.1,37.1,40.1,38.6,40.1,34,53.7,35.6
53,37.1,50,37.8,43.1,36.3,57.5,36.3
50,37.8,51.5,39.3,41.6,40.9,59.8,40.9
47.3,33.8,45.1,42.8,39,39.8,63.9,45.1
45.8,36.6,43.5,35.8,41.9,35.1,70.9,37.4
55.6,52.6,53.3,43.6,48.8,40.6,68.4,45.4
56.7,39.5,44.7,45.5,41.7,32.8,62.6,38.5
41.6,37.8,43.9,36.3,38.6,34,59,37.8
43.9,41.6,43.1,35.6,40.9,33.3,48.4,31.8
37.8,39.3,45.4,35.6,34.8,34.8,68.9,32.5
41.6,31.8,37.1,27.2,34.8,25,64.3,32.5
41.6,32.5,36.3,33.3,37.8,35.6,65.9,24.2
44.6,32.5,38.6,31,36.3,33.3,62.8,32.5
32.5,27.2,33.3,18.1,32.5,21.9,66.6,25.7
40.9,34,42.4,34,40.1,31.8,68.1,31.8
49.2,37.3,36.5,41.7,34.3,28.3,48.5,30.5
49.2,30.3,41.6,27.2,35.1,29.5,56,28.7
42.4,29.5,40.1,28,30,26.5,59.8,35.6
46.9,43.5,46.9,33.5,41.2,31.8,61.3,34.3
46.9,36.8,43.9,32.3,39.8,34,64.3,36.8
38.6,26.5,40.9,24.2,32.5,21.9,54.5,25
37.1,21.9,27.2,18.9,28,19.6,56.8,23.4
46.2,32.5,40.9,31,27.2,31.8,59,30.3
45.6,31.8,32.6,19.5,40.5,24.6,55.7,20.2
40.9,25.7,34,30.3,34.8,25,62.1,27.2
39.5,25.8,28.7,26.6,25.8,28,64,29.4
38.8,35,30.5,24.6,26.8,26.1,43.2,27.6
31.8,29.5,34,21.2,27.2,24.2,51.5,25.7
43.6,35.3,44.3,36,39,32.3,60.1,33
31.8,22.7,30.3,25,22.7,30.3,65.1,28.7
36.6,43.5,36.6,31.2,35.1,29.7,48,28.2
45.1,33,37.5,29.3,39.8,34.5,57.8,30.8
44.2,26.7,37.4,28.2,36.6,30.5,64.1,29
44.3,21,33,22.5,33.8,23.3,62.4,21
51.5,31,46.9,34.8,44.6,31,65.1,34
39.4,29.1,32.1,29.9,35,27.7,72.2,28.4
36.3,27.2,28.7,22.7,32.5,25.7,71.2,25
37.1,34,34,27.2,29.5,28.7,43.9,16.6
36.3,28,36.3,28.7,31.8,25,55.3,25.7
40.1,21.2,36.3,28.7,33.3,25,48.4,20.4
34.8,26.5,28.7,19.6,30.3,21.9,56.8,25.7
46.2,37.1,50,32.5,40.1,37.1,68.1,37.1
32,21.6,30.5,21.6,22.3,19.4,52.2,17.9
37.4,29,38.9,24.4,37.4,29,60.3,28.2
36.3,27.2,36.3,28.7,39.3,25,64.3,24.2
37.1,26.5,34.8,23.4,29.5,25.7,65.1,24.2
28,29.5,34,21.2,26.5,21.2,62.8,25
40.9,33.3,36.3,26.5,30.3,32.5,50,24.2
46.2,37.1,40.9,35.6,35.6,30.3,53,26.5
43.9,24.4,31.8,28.7,33.3,28.7,62.8,28.2
38.1,29.5,38.1,32,32.8,29,71.7,28.7
42.1,35.6,43.6,29.3,38.3,39.8,61.6,30.3
39.8,29.1,39.8,28.5,32.3,36,60.1,36.5
45.4,37.8,43.1,34.8,43.1,39.3,65.1,37.8
37.1,26.5,29.5,21.2,31,19.6,62.8,25
45.8,33,42.1,35.3,37.5,30.8,61.6,32.3
38.1,28.2,35.1,29.7,34.3,27.4,65.6,29
46.6,35.6,39.8,33.8,41.3,32.5,56.3,34.8
47.3,45.4,44.2,38.9,36.6,37.8,58,33.3
54.1,35.3,46.5,35.1,38.9,29.7,58.7,30.3
56.5,39.4,40,38.8,37.8,38.8,45,31.8
47.7,30.8,40.1,35.3,34.8,25.5,57.5,27
45.9,50.3,45.9,35,25.5,29.1,29.9,27
25.5,14.2,20.3,13.5,9,3,0,0.7
